Steam遊戲排行,遊戲評價,價格,鏈接
1. F1® 2021  ,88%," 1,799",https://store.steampowered.com/app/1134570/F1_2021/?snr=1_7_7_globaltopsellers_150_1
2. Ghost Hunters Corp  ,53%, 298,https://store.steampowered.com/app/1618540/Ghost_Hunters_Corp/?snr=1_7_7_globaltopsellers_150_1
3. EA Play  , 暫無評價, 145,https://store.steampowered.com/app/1289670/EA_Play/?snr=1_7_7_globaltopsellers_150_1
4. Halo: The Master Chief Collection  ,91%,284,https://store.steampowered.com/sub/376282/?snr=1_7_7_globaltopsellers_150_1
5. Monster Hunter Stories 2: 破滅之翼  ,77%," 1,730",https://store.steampowered.com/app/1277400/Monster_Hunter_Stories_2/?snr=1_7_7_globaltopsellers_150_1
6. Red Dead Redemption 2  ,85%,"1,199",https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_globaltopsellers_150_1
7. Fallout 1st  ,45%, 389,https://store.steampowered.com/app/1202520/Fallout_1st/?snr=1_7_7_globaltopsellers_150_1
8. Fallout 1st  ,45%, 389,https://store.steampowered.com/app/1202520/Fallout_1st/?snr=1_7_7_globaltopsellers_150_1
9. New World  , 暫無評價, 999,https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_globaltopsellers_150_1
10. New World  , 暫無評價, 999,https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_globaltopsellers_150_1
11. She Will Punish Them  ,92%,166,https://store.steampowered.com/app/1213740/She_Will_Punish_Them/?snr=1_7_7_globaltopsellers_150_1
12. Grand Theft Auto V：豪華版  ,83%, 974,https://store.steampowered.com/bundle/5699/Grand_Theft_Auto_V/?snr=1_7_7_globaltopsellers_150_1
13. Total War: WARHAMMER II - The Silence & The Fury  ,82%, 280,https://store.steampowered.com/app/1556110/Total_War_WARHAMMER_II__The_Silence__The_Fury/?snr=1_7_7_globaltopsellers_150_1
14. DEATH STRANDING  ,93%,716,https://store.steampowered.com/sub/489555/?snr=1_7_7_globaltopsellers_150_1
15. PICO PARK  ,88%, 102,https://store.steampowered.com/app/1509960/PICO_PARK/?snr=1_7_7_globaltopsellers_150_1
16. PUBG: BATTLEGROUNDS  ,53%, 799,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_globaltopsellers_150_1
17. Sid Meier’s Civilization® VI Anthology  ,80%,"1,502",https://store.steampowered.com/bundle/21432/Sid_Meiers_Civilization_VI_Anthology/?snr=1_7_7_globaltopsellers_150_1
18. CS:GO Prime Status Upgrade  ,88%, 428,https://store.steampowered.com/sub/54029/?snr=1_7_7_globaltopsellers_150_1
19. Maneater  ,89%,340,https://store.steampowered.com/app/629820/Maneater/?snr=1_7_7_globaltopsellers_150_1
20. 《星際大戰™：舊共和國™》- 訂閱  ,35%, 510,https://store.steampowered.com/app/1333220/_/?snr=1_7_7_globaltopsellers_150_1
21. 《星際大戰™：舊共和國™》- 訂閱  ,35%, 510,https://store.steampowered.com/app/1333220/_/?snr=1_7_7_globaltopsellers_150_1
22. 《星際大戰™：舊共和國™》- 訂閱  ,35%, 510,https://store.steampowered.com/app/1333220/_/?snr=1_7_7_globaltopsellers_150_1
23. 《星際大戰™：舊共和國™》- 訂閱  ,35%, 510,https://store.steampowered.com/app/1333220/_/?snr=1_7_7_globaltopsellers_150_1
24. iRacing  ,82%, 278,https://store.steampowered.com/app/266410/iRacing/?snr=1_7_7_globaltopsellers_150_1
25. iRacing  ,82%, 278,https://store.steampowered.com/app/266410/iRacing/?snr=1_7_7_globaltopsellers_150_1
